,user_id,email,registration_date,transaction_count,total_amount,card_payments_count,paypal_payments_count,usd_payments_count,eur_payments_count
0,148, lalexander@.COM,2023-02-05 23:27:11.918822,5,538.461990630318,1,2,3,0
1,833,andrewsjeremy@example.com,2023-11-10 10:31:05.290084,10,948.9048820194465,4,2,5,5
2,471,bhopkins@patel.com ,2024-03-04 19:37:29.887001,9,1327.5126443697309,2,2,7,1
3,496,bartonkenneth@example.org,2023-08-04 16:17:44.857406,3,302.34674078437865,0,1,0,2
4,463,noahwhitaker@example.com,2023-05-17 02:25:51.882227,2,292.6866406890772,0,0,1,0
5,243,farrelldebra@LE.COM,2024-12-20 06:57:27.323104,2,151.23428355557667,0,0,0,1
6,540,heather86@example.com,2024-08-11 06:32:49.230664,12,1179.4358670146592,0,5,8,3
7,737,jason29@burns.com ,2024-05-18 17:29:27.716125,3,352.6068100386785,1,0,2,0
8,392,ufox@example.org,2024-11-21 23:16:10.694412,3,432.44112224971315,1,1,2,1
9,623,martinsteven@example.com,2023-04-25 23:17:06.257440,3,226.96292658301923,0,0,2,0
10,858,josemercado@example.org,2023-03-29 09:05:47.204398,8,847.2402957951563,2,3,5,3
11,897,mitchellpeters@example.com,2023-01-15 13:26:34.648903,5,473.0610034988067,0,1,4,1
12,516,marie16,2024-08-12 23:02:39.295162,4,255.19834013792047,0,1,4,0
13,31,davidalvarez@example.net,2023-07-12 20:27:26.267955,4,407.7660028018571,2,1,3,0
14,251,xbruce@example.net,2024-11-13 13:47:20.084805,5,485.0344523845377,1,1,3,2
15,451,harttammy@example.net,2024-08-31 17:23:47.848546,7,625.7362739154655,2,3,5,0
16,137,jenniferfreeman@vaughn.info ,2024-08-25 19:12:06.805920,8,805.5899298821697,1,1,2,5
17,580,bbell@example.com,2023-08-15 17:33:54.475704,5,549.2422267677597,1,3,3,2
18,85,SNGUYEN@spencer-lee.biz,2024-03-26 07:52:37.208143,4,605.4209170493675,1,1,2,0
19,808,juliahoffman@example.org,2023-12-24 15:28:10.749748,3,235.01632032045737,1,1,2,1
20,883,GARY57@garza.com,2024-04-20 01:16:44.782074,6,428.7068579543891,1,3,5,1
21,65,ccalderon@cook.com ,2024-04-17 09:31:13.869503,5,371.84014718797897,4,0,1,3
22,458, jherman@rowe-james.net ,2024-09-10 01:07:57.628993,4,376.04709090738646,0,2,0,3
23,879,johnsjessica@example.com,2024-04-16 15:07:07.861726,2,190.69662004071915,1,0,0,1
24,588,matthewsalexander@example.org,2024-01-07 04:10:40.593572,6,619.5607839557099,1,2,4,1
25,255,reesejason@example.com,2023-09-07 13:26:54.795320,2,198.96440946023347,0,1,2,0
26,53,@larson.com,2024-12-08 14:00:41.661717,5,562.676898112161,1,2,2,2
27,898,becky62@example.net,2024-11-14 05:05:09.935841,4,392.5510252540718,2,2,2,2
28,804,gonzalezkaren@example.org,2024-12-21 11:23:06.420895,7,671.6744914200045,4,1,5,1
